sex,age,Medu,Fedu,Mjob,Fjob,reason,studytime,failures,schoolsup
F,16,1,1,services,services,course,1,0,yes
F,16,1,2,other,services,reputation,2,0,yes
F,16,4,3,teacher,health,home,3,0,yes
F,15,4,3,services,services,reputation,2,0,yes
F,16,4,3,teacher,services,course,2,0,no
M,15,4,4,other,services,reputation,4,0,no
F,16,3,1,services,other,course,4,0,yes
F,15,2,2,health,services,reputation,2,0,yes
F,15,3,1,other,other,reputation,4,0,no
M,16,3,1,other,other,reputation,4,0,no
M,15,4,2,other,other,course,4,0,no
F,15,1,1,other,other,reputation,2,2,yes
M,16,3,1,other,other,reputation,1,0,no
F,16,3,3,other,services,home,2,0,yes
M,15,4,3,teacher,other,home,2,0,no
M,15,4,0,teacher,other,course,4,0,no
F,16,2,2,other,other,reputation,4,0,no
M,17,2,1,other,other,home,1,3,yes
F,16,3,4,at_home,other,course,2,0,no
M,15,2,3,other,services,course,1,0,yes
M,15,2,3,other,other,home,3,0,yes
F,15,3,2,services,other,reputation,2,0,no
M,15,2,2,services,services,home,2,0,no
F,15,1,1,other,other,home,2,0,no
F,15,4,4,services,services,reputation,2,2,no
F,16,2,2,at_home,other,course,2,0,no
F,15,4,2,other,other,reputation,3,0,no
M,16,2,2,services,other,reputation,2,1,no
M,16,4,4,teacher,health,reputation,2,0,no
F,16,3,3,other,other,home,3,0,no
F,15,4,3,services,other,reputation,1,0,no
F,16,3,1,other,other,home,2,0,yes
F,16,4,2,teacher,services,home,2,0,no
M,15,2,2,services,health,reputation,4,0,no
F,15,1,1,at_home,other,home,4,1,yes
M,16,4,3,services,other,reputation,1,0,yes
F,16,2,1,other,other,course,2,0,no
F,16,4,4,other,other,reputation,1,0,no
F,16,4,3,other,at_home,course,3,0,yes
M,16,4,4,services,services,other,1,0,yes
M,16,4,4,services,teacher,other,3,0,no
M,15,4,4,services,other,course,1,0,no
F,15,3,2,services,other,home,2,0,yes
M,15,3,4,services,other,course,2,0,no
F,15,3,3,other,health,reputation,4,0,yes
F,15,2,2,other,other,course,4,0,yes
M,16,3,3,services,other,home,3,0,no
M,15,4,4,other,other,home,4,0,no
F,16,4,4,health,health,other,3,0,no
M,15,4,4,teacher,teacher,course,1,0,no
F,16,3,3,services,other,reputation,3,1,yes
F,16,2,2,at_home,other,home,2,1,yes
M,15,4,2,teacher,other,course,1,0,no
M,15,2,1,health,services,reputation,2,0,no
M,16,4,4,teacher,teacher,course,2,0,no
M,15,4,4,other,teacher,reputation,2,0,no
M,16,3,3,other,services,home,1,0,no
M,17,1,3,other,other,course,2,1,no
M,15,3,4,other,other,reputation,1,0,no
F,15,1,2,at_home,services,course,2,0,no
M,15,2,2,services,services,home,4,0,no
F,16,2,4,other,health,course,2,0,no
M,16,4,4,health,other,course,1,0,no
F,16,2,2,other,other,home,2,0,no
M,15,3,4,services,services,home,1,0,yes
F,15,3,4,other,other,home,2,0,yes
F,19,0,1,at_home,other,course,2,3,no
M,18,2,2,services,other,reputation,1,2,no
M,16,4,4,teacher,teacher,course,1,0,no
F,15,3,4,services,teacher,course,3,2,no
F,15,1,1,at_home,other,course,1,0,no
F,17,2,2,other,other,course,1,0,no
F,16,3,4,services,other,course,1,0,no
M,15,3,4,at_home,teacher,course,2,0,no
F,15,4,4,services,at_home,course,3,0,no
M,17,3,4,at_home,other,course,2,0,no
F,16,3,3,other,other,course,1,2,no
M,16,1,1,services,other,course,2,1,no
F,15,4,4,teacher,teacher,course,1,0,no
M,15,4,3,teacher,services,course,4,0,yes
M,16,2,2,services,services,reputation,1,2,no
F,15,4,4,teacher,services,course,3,0,no
F,16,1,1,at_home,at_home,course,1,0,no
M,17,2,1,other,other,home,1,3,no
F,15,1,1,other,services,course,2,0,no
F,15,3,2,health,services,home,2,3,no
F,15,1,2,at_home,other,course,2,0,no
M,16,4,4,teacher,teacher,course,1,0,no
M,15,2,1,services,other,course,1,3,no
M,18,1,1,other,other,course,1,3,no
M,16,2,1,at_home,other,course,1,1,no
F,15,3,3,services,services,reputation,3,2,no
M,19,3,2,services,at_home,home,1,3,no
F,17,4,4,other,teacher,course,1,0,yes
M,15,2,3,at_home,services,course,2,0,yes
M,17,1,2,other,other,reputation,1,0,no
F,18,1,1,at_home,other,course,1,3,no
M,16,2,2,at_home,other,course,1,0,no
M,16,3,3,other,services,course,2,1,no
M,17,2,1,at_home,other,course,1,2,no
M,15,3,2,other,other,course,2,2,yes
M,16,1,2,other,other,course,1,1,no
M,17,1,3,at_home,services,course,1,0,no
M,17,1,1,other,services,course,2,3,no
M,16,3,2,services,services,course,1,1,no
M,16,2,2,other,other,course,2,0,no
F,16,4,2,health,services,home,2,0,no
F,16,2,2,other,other,home,2,0,no
F,16,4,4,health,health,reputation,2,0,no
M,16,3,4,other,other,course,1,2,no
M,16,1,0,other,other,reputation,2,0,no
M,17,4,4,teacher,other,reputation,2,0,no
F,16,1,3,at_home,services,home,2,3,no
F,16,3,3,other,other,reputation,2,0,no
M,17,4,3,teacher,other,course,2,0,no
F,16,2,2,services,other,reputation,2,0,no
M,17,3,3,other,other,reputation,2,0,no
M,16,4,2,teacher,services,other,1,0,no
M,17,4,3,other,other,course,2,0,no
M,16,4,3,teacher,other,home,2,0,no
M,16,3,3,services,other,home,2,0,no
F,17,2,4,services,services,reputation,2,0,no
F,17,3,3,other,other,reputation,2,0,no
F,16,3,2,other,other,reputation,2,0,no
M,17,3,3,services,services,other,2,0,no
M,16,1,2,services,services,other,1,0,no
M,16,2,1,other,other,course,2,0,no
F,17,3,3,health,other,reputation,2,0,no
M,17,1,2,at_home,other,home,2,0,no
F,16,2,3,services,services,course,2,0,no
F,17,1,1,at_home,services,course,2,0,no
M,17,1,2,at_home,services,other,2,0,no
M,16,3,3,services,services,reputation,1,0,no
M,16,2,3,other,other,home,1,0,no
F,17,2,4,services,services,course,2,0,no
M,17,4,4,services,teacher,home,1,0,no
M,16,3,3,teacher,other,home,1,0,no
F,17,4,4,services,teacher,home,1,1,no
F,16,4,4,teacher,teacher,reputation,2,0,no
F,16,4,3,health,other,home,2,0,no
F,16,2,3,other,other,reputation,2,0,yes
F,17,1,1,other,other,course,2,0,no
F,17,2,2,other,other,reputation,1,0,no
F,16,2,2,services,services,reputation,4,0,no
F,17,3,4,at_home,services,home,3,1,no
F,16,3,1,services,other,course,2,3,no
F,16,4,3,teacher,other,other,2,0,no
F,16,1,1,at_home,other,home,1,0,no
F,17,4,3,teacher,other,reputation,3,0,no
F,19,3,3,other,other,reputation,4,0,no
M,17,4,4,services,other,home,2,0,no
F,16,2,2,other,other,reputation,2,0,yes
M,18,2,2,services,other,home,2,1,no
F,17,4,4,services,other,other,1,0,no
F,17,3,2,other,other,reputation,2,0,no
F,17,4,3,other,other,reputation,2,2,no
M,18,3,3,services,health,home,2,1,no
F,17,2,3,at_home,other,home,1,0,no
F,17,2,2,at_home,at_home,course,3,0,no
F,17,2,1,at_home,services,reputation,2,0,no
F,17,1,1,at_home,other,reputation,3,1,no
F,16,2,3,services,teacher,other,2,0,yes
M,18,2,2,other,other,home,2,0,no
F,16,4,4,teacher,services,home,3,0,no
F,18,3,1,other,other,reputation,2,1,no
F,17,3,2,other,other,course,2,0,no
M,17,2,3,services,services,reputation,2,0,no
M,18,2,1,at_home,other,course,2,0,yes
F,17,2,1,other,other,course,3,0,no
F,17,4,3,health,other,reputation,2,0,no
M,17,2,2,other,other,course,2,0,no
M,17,4,4,teacher,teacher,reputation,2,0,yes
M,16,4,4,health,other,reputation,2,0,no
M,16,1,1,other,other,home,2,0,no
M,16,3,2,at_home,other,reputation,3,0,no
M,17,2,2,other,other,home,2,0,no
F,16,2,1,other,other,home,1,0,no
F,17,2,1,at_home,services,course,2,0,no
M,18,2,2,other,services,reputation,2,1,no
M,17,4,3,health,other,course,2,0,no
M,17,4,4,teacher,other,course,2,0,no
M,16,4,3,teacher,other,course,1,0,no
M,16,4,4,services,services,course,1,0,no
F,18,2,1,other,other,course,3,0,no
M,16,2,1,other,other,course,1,0,no
M,17,2,3,other,other,course,1,0,no
M,22,3,1,services,services,other,1,3,no
M,18,3,3,other,services,course,2,1,no
M,16,0,2,other,other,other,1,0,no
M,18,3,2,services,other,course,1,1,no
M,16,3,3,at_home,other,reputation,2,0,yes
M,18,2,1,services,services,other,1,1,no
M,16,2,1,other,other,course,1,0,no
M,17,2,1,other,other,course,1,0,no
M,17,1,1,health,other,course,1,1,no
F,17,4,2,teacher,services,reputation,4,0,no
M,19,4,3,services,at_home,reputation,2,0,no
M,18,2,1,other,other,home,2,0,no
F,17,2,2,services,services,course,4,0,no
F,18,4,3,services,other,home,2,0,no
M,18,4,3,teacher,other,course,2,0,no
M,18,3,2,other,other,course,3,0,no
F,17,3,3,other,other,home,3,0,no
F,18,2,2,at_home,services,home,3,0,no
M,18,3,4,other,other,reputation,2,0,no
M,17,3,1,services,other,other,2,0,no
F,18,4,4,teacher,other,reputation,2,0,no
M,18,4,2,health,other,reputation,2,0,no
F,18,2,1,other,other,reputation,2,0,no
F,19,3,3,other,services,home,2,2,no
F,18,2,3,other,services,reputation,4,0,no
F,18,1,1,other,other,home,2,0,no
M,17,1,2,at_home,at_home,home,2,0,no
F,17,2,4,at_home,health,reputation,2,0,no
F,17,2,2,services,other,course,2,0,yes
F,18,3,2,other,services,home,2,0,no
M,18,4,4,teacher,services,home,1,0,no
F,18,4,4,health,health,reputation,2,1,yes
M,18,4,3,teacher,services,course,1,0,no
M,17,4,1,services,other,home,1,0,no
M,17,3,2,teacher,services,home,1,1,no
F,18,1,1,at_home,other,reputation,4,0,no
F,18,1,1,other,other,home,2,0,yes
F,17,2,2,other,other,course,2,0,no
M,17,1,1,other,other,reputation,2,0,no
F,18,2,2,at_home,at_home,other,3,0,no
F,17,1,1,services,teacher,reputation,3,0,no
M,18,2,1,services,services,reputation,3,0,no
M,18,4,4,teacher,teacher,reputation,2,0,no
M,18,4,2,teacher,other,home,2,0,no
F,17,4,3,health,services,reputation,3,0,no
F,18,2,1,services,at_home,reputation,2,1,no
F,17,3,1,services,other,reputation,4,0,no
M,18,3,2,services,other,reputation,3,0,no
M,17,3,3,health,other,home,1,0,no
F,19,4,4,health,other,reputation,2,0,no
F,18,4,3,other,other,home,2,0,no
F,18,4,3,other,other,reputation,4,0,no
M,18,4,4,teacher,teacher,home,1,0,no
F,18,4,4,health,other,home,2,0,no
M,17,4,4,other,teacher,home,1,0,no
F,17,4,2,other,other,reputation,3,0,no
F,17,3,2,health,health,reputation,4,0,no
M,19,3,3,other,other,home,2,1,no
F,18,2,4,services,at_home,reputation,2,1,no
M,20,3,2,services,other,course,1,0,no
M,19,4,4,teacher,services,reputation,1,1,no
M,19,3,3,other,services,reputation,2,1,no
F,19,1,1,at_home,other,reputation,2,1,yes
F,19,1,2,services,services,home,2,1,no
F,19,2,1,at_home,other,other,2,0,no
M,19,1,2,other,services,course,2,1,no
F,19,3,2,services,other,reputation,2,1,no
F,19,1,1,at_home,health,home,3,2,no
F,19,2,3,other,other,reputation,3,1,no
F,18,2,1,services,other,course,2,0,no
F,18,4,3,other,other,course,3,0,no
F,17,3,4,at_home,services,course,3,0,no
F,18,4,4,teacher,other,course,2,0,no
F,17,4,3,services,services,course,2,0,no
F,17,2,2,other,other,course,2,0,no
F,17,2,2,services,services,course,3,0,no
F,17,3,1,services,services,course,3,0,no
F,17,0,2,at_home,at_home,home,3,0,no
M,18,4,4,other,other,course,3,0,no
M,17,3,3,other,services,reputation,1,0,no
M,17,2,2,services,other,course,1,0,no
F,17,4,4,teacher,services,course,3,0,no
F,17,4,4,teacher,teacher,course,3,0,no
M,18,2,2,other,other,course,4,0,no
F,17,2,4,at_home,other,course,3,0,no
F,18,3,3,services,services,home,2,0,no
F,18,2,2,other,other,home,2,0,no
F,18,2,2,at_home,other,course,4,0,no
F,17,3,4,services,other,course,3,0,no
F,19,3,1,services,at_home,home,3,1,no
F,17,3,2,other,other,home,2,0,no
F,18,3,3,services,services,home,4,0,no
F,17,3,2,other,other,home,2,0,no
F,19,2,1,services,services,home,3,1,no
M,18,4,4,teacher,services,home,2,1,no
M,18,3,4,services,other,home,2,0,no
F,17,2,2,at_home,at_home,home,2,1,no
F,18,2,3,at_home,other,course,3,0,no
F,18,3,2,other,services,other,3,0,no
M,18,4,3,teacher,services,course,3,0,no
M,18,4,3,teacher,other,course,3,0,no
F,17,4,3,health,other,reputation,3,0,no
M,18,3,2,other,other,course,1,1,no
M,19,1,1,other,services,home,2,3,no
M,17,3,3,health,other,course,2,0,no
M,18,1,3,at_home,services,course,1,1,no
M,19,1,1,other,other,home,1,1,no
M,17,4,3,services,other,home,2,0,no
F,18,3,3,services,services,course,2,0,no
F,17,4,4,teacher,services,other,2,0,no
F,17,3,2,services,other,reputation,2,0,no
M,18,1,1,other,services,home,1,0,no
F,18,1,1,at_home,services,course,3,0,no
F,18,1,4,at_home,other,course,2,0,no
M,18,1,1,at_home,other,other,2,1,no
F,18,3,3,services,services,other,2,0,no
F,17,4,4,at_home,at_home,course,2,0,no
F,17,1,2,other,services,course,2,0,no
M,18,1,3,at_home,other,course,2,0,no
M,18,4,4,teacher,services,other,3,0,no
F,17,1,1,other,services,reputation,1,1,no
F,18,2,3,at_home,services,course,1,0,no
F,18,4,4,other,teacher,other,2,0,no
F,19,3,2,services,services,home,2,2,no
M,18,1,2,at_home,services,other,1,0,no
F,17,2,2,other,at_home,home,3,0,no
F,17,1,2,other,other,course,1,0,no
F,18,4,4,other,other,reputation,3,0,no
F,18,1,1,other,other,home,3,0,no
F,20,4,2,health,other,course,3,2,no
F,18,4,4,teacher,services,course,2,0,no
F,18,3,3,other,other,home,2,0,no
F,17,3,1,at_home,other,reputation,2,0,no
M,18,4,4,teacher,teacher,home,2,0,no
M,18,2,1,other,other,other,1,0,no
M,17,2,3,other,services,home,2,0,no
M,19,1,1,other,services,other,1,1,no
M,18,4,2,other,other,home,1,1,no
F,18,2,2,at_home,other,other,3,0,no
F,18,4,4,teacher,at_home,reputation,1,0,no
F,19,2,3,services,other,course,3,1,no
F,18,3,1,teacher,services,course,2,0,no
F,18,1,1,other,other,course,2,1,no
M,20,2,2,services,services,course,2,2,no
M,17,3,1,services,services,course,1,0,no
M,21,1,1,other,other,course,1,3,no
M,18,3,2,services,other,course,1,0,no
M,19,1,1,other,at_home,course,1,0,no
